# (c) Der Bundeswahlleiter, Wiesbaden 2016
# Ergebnis der Wahl zum 18. Deutschen Bundestag am 22. September 2013 umgerechnet auf die 299 Wahlkreise in der für die Bundestagswahl 2017 festgelegten Abgrenzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#
Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;PIRATEN;PIRATEN;NPD;NPD;Tierschutzpartei;Tierschutzpartei;REP;REP;ÖDP;ÖDP;FAMILIE;FAMILIE;Bündnis 21/RRP;Bündnis 21/RRP;RENTNER;RENTNER;BP;BP;PBC;PBC;BüSo;BüSo;DIE VIOLETTEN;DIE VIOLETTEN;MLPD;MLPD;Volksabstimmung;Volksabstimmung;PSG;AfD;AfD;BIG;BIG;pro Deutschland;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;FREIE WÄHLER;Nichtwähler;PARTEI DER VERNUNFT;PARTEI DER VERNUNFT;Die PARTEI;Die PARTEI;Bergpartei;BGD;DKP;NEIN!;WGr/EB
;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
1;SH;Flensburg – Schleswig;226944;162749;2223;2113;160526;160636;68235;61347;59718;52396;3039;8065;7436;9084;12491;15734;0;0;3418;3183;955;929;0;1459;0;0;0;0;0;0;0;0;0;790;0;0;0;0;0;0;0;0;0;44;0;0;0;5234;6563;0;0;0;0;0;0;0;1042;0;0;0;0;0;0;0;0;0;0
2;SH;Nordfriesland – Dithmarschen Nord;186177;131527;1648;1483;129879;130044;64678;56383;41714;38590;3172;8321;4653;5733;8465;10547;0;0;2467;2413;757;733;0;969;0;0;0;0;0;0;0;0;0;561;0;0;0;0;0;0;0;0;0;45;0;0;0;3973;4994;0;0;0;0;0;0;0;755;0;0;0;0;0;0;0;0;0;0
3;SH;Steinburg – Dithmarschen Süd;176731;126409;1523;1451;124886;124958;56669;52408;42476;37502;6324;7689;4909;6286;6386;9485;0;0;2674;2709;980;1038;0;930;0;0;0;0;0;0;0;0;0;516;0;0;0;0;0;0;0;0;0;34;0;0;0;4468;5492;0;0;0;0;0;0;0;869;0;0;0;0;0;0;0;0;0;0
4;SH;Rendsburg-Eckernförde;198903;149583;1743;1616;147840;147967;66775;60349;54397;46658;2754;8126;4902;6447;10306;13707;0;0;2756;2620;866;854;0;1290;0;0;0;0;0;0;0;0;0;668;0;0;0;0;0;0;0;0;0;32;0;0;0;5084;6500;0;0;0;0;0;0;0;716;0;0;0;0;0;0;0;0;0;0
5;SH;Kiel;205243;146452;1674;1483;144778;144969;47925;43893;62271;50262;3069;7708;7622;10023;14435;20394;0;0;3575;3946;834;802;0;1201;0;0;0;0;0;0;0;0;920;817;0;0;0;0;0;0;0;0;0;71;0;0;0;4040;5379;0;0;0;0;0;0;0;473;0;0;0;0;0;0;0;0;0;87
6;SH;Plön – Neumünster;174746;127093;1681;1520;125412;125573;54833;48683;47085;41094;2322;6722;4708;5987;7979;11577;0;0;2167;2154;1162;1159;0;1004;0;0;0;0;0;0;0;0;0;535;0;0;0;0;0;0;0;0;0;46;0;0;0;4837;5901;0;0;0;0;0;0;0;711;0;0;0;0;0;0;0;0;0;319
7;SH;Pinneberg;235610;179055;1703;1682;177352;177373;80483;72006;64006;55371;3303;9863;6985;8910;11324;15291;0;0;3225;3370;1260;1319;0;1271;0;0;0;0;0;0;0;0;0;665;0;0;0;0;0;0;0;0;0;42;0;0;0;6766;8479;0;0;0;0;0;0;0;786;0;0;0;0;0;0;0;0;0;0
8;SH;Segeberg – Stormarn-Mitte;244240;183250;1735;1660;181515;181590;82471;74161;63998;54691;3722;10449;7003;9112;11141;15695;0;0;3546;3686;1190;1307;0;1534;0;0;0;0;0;0;0;0;0;746;0;0;0;0;0;0;0;0;0;46;0;0;0;6879;9034;0;0;0;0;0;0;1565;1129;0;0;0;0;0;0;0;0;0;0
9;SH;Ostholstein – Stormarn-Nord;180022;131939;1551;1452;130388;130487;59783;53705;48349;41134;2962;8036;4469;5663;7145;10490;0;0;2060;2111;723;737;0;917;0;0;0;0;0;0;0;0;0;489;0;0;0;0;0;0;0;0;0;25;0;0;0;4897;6471;0;0;0;0;0;0;0;709;0;0;0;0;0;0;0;0;0;0
